237	32	220	44
220	44	185	65
185	65	105	115
105	115	94	139
94	139	77	167
77	167	59	202
59	202	53	217
53	217	49	270
49	270	52	300
52	300	51	327
51	327	86	371
86	371	108	394
108	394	144	424
238	30	253	47
253	47	283	76
283	76	309	107
309	107	254	146
254	146	227	174
227	174	213	203
213	203	213	217
213	217	216	246
216	246	236	290
236	290	285	341
285	341	302	347
302	347	326	318
326	318	355	283
355	283	406	219
406	219	401	165
401	165	402	114
402	114	373	111
373	111	337	141
337	141	310	104
254	44	246	67
246	67	238	80
238	80	225	111
225	111	211	147
211	147	193	180
193	180	187	193
187	193	176	229
176	229	162	258
162	258	145	258
145	258	90	268
90	268	47	269
144	259	144	284
144	284	148	303
148	303	157	316
157	316	162	335
162	335	174	337
174	337	188	344
188	344	201	352
201	352	229	359
229	359	273	367
273	367	283	341
175	339	163	364
163	364	148	397
148	397	145	423
